video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1
000425,"Based on the video, what were the prevailing weather and lighting conditions when the collision occurred?",Weather & Light,"It was a clear, sunny day with dry road surfaces.",It was a cloudy day with light rain and wet road surfaces.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,A multi-lane urban intersection surrounded by city buildings.,wide rural road with open fields and minimal surrounding structures.,What is the configuration of the road layout where the collision occurs?,Road Configuration,"A multi-lane, four-way intersection controlled by traffic lights.","two-lane, T-shaped intersection with stop signs controlling traffic flow.",How would you classify the type of collision that occurred,Accident Type,"No contact accident, the motorcycle brakes caused the body to swing and overturn","Single-vehicle collision, the motorcycle lost control due to sudden swerving to avoid a pedestrian",What was the primary cause of this accident according to traffic laws and the sequence of events?,Accident Cause,"The motorcycle was at an excessive speed, overturned due to the vehicle's body swinging due to braking to avoid the SUV at the intersection","The SUV failed to yield the right of way at the intersection, causing the motorcycle to swerve and lose control",What critical action should have taken to prevent this collision?,Accident Prevention,The motor should slow down at inersection area. The SUV should go through intersection as fast as possible.,The motorcyclist should have yielded to the SUV when entering the intersection.
000426,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,Overcast afternoon conditions with moderate glare and a wet road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",marked pedestrian crosswalk on a two-lane urban road with sidewalk barriers and commercial signage,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.","Single lane in each direction, with the striking car approaching from the left and the camera car in the center of the road",What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,vehicle-pedestrian collision at an unmarked crosswalk.,What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,"The pedestrian suddenly stepped into the roadway without looking, causing the driver to swerve and collide with the stroller.",How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.","The pedestrian with the stroller crosses the road quickly without looking, assuming the oncoming car will stop."
000427,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,Daylight with light cloud cover and moderate visibility.,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,The scene is a quiet residential street with minimal traffic.,What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.","quiet, unsignalized intersection with minimal traffic and no visible public transportation or pedestrian crossing signs.",How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.","rear-end collision, where the ego-vehicle struck the back of the dark SUV as it was stopping at the intersection.",What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,The red sedan failed to yield at the intersection and cut across traffic.,What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,The dark SUV maintains a safe following distance behind the vehicle ahead to avoid sudden braking situations.
000428,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with overcast skies, and visibility was generally clear.","It was early morning with foggy conditions, and visibility was reduced due to low light.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with residential buildings and commercial shops nearby.,suburban road with apartment buildings and a few small businesses along the sides.,What specific road features were present at the location of the accident?,Road Configuration,A narrow intersection with marked crosswalk (zebra crossing) and a traffic signal pole.,wide intersection with a pedestrian crossing and a speed limit sign.,How can this traffic accident be most accurately classified?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk.,collision between a vehicle and a pedestrian outside of a designated crosswalk.,What was the most direct and primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to the pedestrian who was already on the crosswalk.,The pedestrian suddenly stepped into the crosswalk without looking for oncoming traffic.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,"The van waits outside the intersection when the light is red, and the pedestrain keep an eye on the oncoming car even when the light is green when crossing.","The pedestrian should have waited for the walk signal to turn green before stepping into the crosswalk, and the van should have slowed down as it approached the intersection."
000430,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A town or village road with roadside buildings, parked vehicles, and a side road junction","rural two-lane road with open fields, scattered trees, and no visible buildings or parked vehicles",What is the configuration of the road at the accident location?,Road Configuration,"A two-lane, four-way road with a dashed centerline at a small intersection with a path.","two-lane, two-way road with a solid centerline at a small intersection without a pedestrian path",What type of collision is depicted in the video?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hit the side of the other.","rear-end collision, where one vehicle struck the back of another from behind.",What was the primary cause of this accident?,Accident Cause,The maroon wagon pulled out from a side road and failed to yield the right-of-way to oncoming traffic.,The red sedan failed to maintain a safe following distance and collided with the vehicle ahead.,How could the drivers have most effectively prevented this collision?,Accident Prevention,The maroon wagon stops completely and waits for the approaching red car to pass before entering the main road.,The red car could have slowed down earlier to allow the maroon wagon to merge safely into the main road.
000432,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.","Partly cloudy skies and moderate sunlight, with a wet road surface from recent rain.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.",Urban highway with multiple commercial signs and buildings along the roadside.,What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.","narrow, uphill two-lane road with faded lane markings and vehicles travelling in both directions.",What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,Rear-end collision followed by a sideswipe involving a black vehicle changing lanes abruptly,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.","The silver Honda swerved to the right to avoid a merging vehicle, causing it to lose control and collide with the car behind it.",Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,The driver maintains a safe following distance and checks mirrors frequently.
000435,"Based on the visual information, what were the environmental conditions at the time of the collision?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,A suburban intersection with residential areas and vegetation nearby.,busy urban intersection with commercial buildings and heavy traffic.,What is the configuration of the intersection shown in the video?,Road Configuration,A multi-lane intersection controlled by traffic lights and featuring a painted crosswalk.,multi-lane intersection controlled by stop signs and featuring a pedestrian crossing island.,What type of collision occurs between the blue Chevrolet and the dark gray Mercedes?,Accident Type,"A side-impact (T-bone) collision, along with a head-on crash, where the front of one car struck the side of the other,then the two acciden cars deviated from their original track and collided head-on with the video car.","sideswipe collision where the blue Chevrolet and dark gray Mercedes grazed each other's sides while traveling in the same direction, without any subsequent head-on impact.","What was the most likely primary cause of this accident?""",Accident Cause,The driver of the black car failed to yield the right-of-way to oncoming traffic while making a right turn. The blue car sped too fast and didn't declerate  in time.,"The blue car ran a red light while attempting to make a left turn, causing a collision with the black car that was proceeding through the intersection legally.",What action by the driver of the blue car would have most reliably prevented this collision?,Accident Prevention,The black car waits for a complete gap in oncoming traffic before starting the turn. The blue car perform a decelrate befor entering intersection.,The blue car maintains a steady speed while entering the intersection to avoid sudden braking.
000440,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",Partly cloudy afternoon with a wet road surface due to recent rain,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.","multi-lane highway in an urban area, with tall buildings lining both sides of the road.",What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,"multi-lane divided highway with traffic moving in both directions, separated by a median barrier.",What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",Rear-end collision caused by the vehicle ahead suddenly braking.,What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,sudden lane change by the vehicle in the adjacent lane.,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,The driver of the dark-colored car should have maintained a greater following distance to allow more reaction time when approaching the truck.
000445,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban multi-lane intersection with roadside trees and commercial buildings nearby.,suburban roundabout with low traffic volume and residential houses surrounding the area.,What is a key feature of the road configuration at the site of the accident?,Road Configuration,A busy signalized intersection with fast-moving traffic in the horizontal lane ahead,"wide, uncontrolled intersection with minimal traffic signals and slow-moving vehicles",What type of collision occurred in the video?,Accident Type,A collision between an SUV which went through the intersection at high speed and a motorcycle crossing the road,collision between a motorcycle and a white SUV that turned left across the motorcycle's path,What was the primary cause of this accident?,Accident Cause,The motorcyclist ran a red light while the SUV had the right-of-way.,"The SUV failed to yield while turning left, causing a collision with the motorcyclist.",How could this collision have been most effectively prevented?,Accident Prevention,The motorcyclist should have obey the traffic rule and wait untill the light turn red.,The motorcyclist should have slowed down before entering the intersection to allow more reaction time.
000462,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,The incident occurred during early morning hours with light fog reducing visibility slightly.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,The scene is a residential street with narrow lanes and parked cars along the sides.,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,The ego-vehicle was approaching a stop-controlled intersection with a red light.,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.","rear-end collision, where one vehicle struck the back of another at an intersection.",What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.","The white minivan failed to stop at the red light, proceeding through the intersection without yielding.",What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,The driver of the white minivan should have accelerated quickly to complete the turn before oncoming traffic arrived.
000464,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,Overcast skies with wet road conditions due to recent rainfall.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,suburban residential street with single-family homes and wide lawns.,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.","wide, two-way, single-lane paved road with a sharp intersection.",What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,rear-end collision where the motorcycle hits the car from behind.,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.","The car failed to yield at the intersection, entering the crosswalk without checking for oncoming traffic.",What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,The car should have stopped completely before entering the intersection.
000465,"Based on the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with clear skies, but with significant sun glare affecting forward visibility.","Daytime with partly cloudy skies and moderate sunlight, resulting in minimal glare and good visibility.",Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,An urban multi-lane arterial road approaching an intersection.,suburban two-lane road with light traffic and no visible intersections.,What specific road marking was present at the point where the lane change occurred?,Road Configuration,"The green light of the intersection came on, and many vehicles in the same direction started to pass through the intersection.","solid white line was visible on the road, indicating that lane changes were not permitted at that location.",How can the collision involving the ego vehicle be best classified?,Accident Type,"A rear-end collision with the vehicle in front, which braked suddenly in response to a sudden-brake  vehicle in front.",sideswipe collision with a vehicle in the adjacent lane that drifted into the ego vehicle's path.,"What was the primary, root cause that initiated the chain of events leading to the collision?",Accident Cause,The black sedan making an illegal and abrupt lane change across a solid line in front of the silver SUV.,The silver SUV failing to maintain a safe following distance behind the vehicle ahead.,,,,
000474,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear weather with good visibility during dawn or dusk.,Overcast skies with reduced visibility during midday hours.,How would you best describe the traffic environment shown in the video?,Traffic Environment,A suburban highway.,busy urban arterial road.,What is the configuration of the road where the incident occurs?,Road Configuration,"Heavy but continuously flowing traffic on a multi-lane, straight urban highway with clear lane markings.","Moderate traffic on a two-lane, curved rural road with faded lane markings.",What type of collision is about to occur in the video?,Accident Type,"Rollover caused by a side impact, the white car cut in, and struck the right behind side of the front black vehicle then rollover.","rear-end collision is about to occur as the white car accelerates rapidly and collides with the back of the black vehicle ahead, causing it to spin out of control.",What is the primary and most direct action that leads to this collision?,Accident Cause,The white vehicle made an agressive and sudden lane change without proper observation.,The motorcycle rider failed to maintain a safe following distance behind the vehicle ahead.,What single action would have been most effective in preventing this accident?,Accident Prevention,The white vehicle thoroughly checks mirrors and the vehicle's blind spot before changing lanes.,The motorcycle rider maintains a safe following distance behind the vehicle ahead.
000477,"Based on the video, what were the prevailing weather and light conditions when the collision occurred?",Weather & Light,"It was daytime with rainy weather, resulting in wet and reflective road surfaces.","It was nighttime with overcast skies, leading to reduced visibility and damp road conditions.",Which of the following best describes the traffic environment at the moment of the incident?,Traffic Environment,It's a rural highway with green belt on the roadside.,It's a multi-lane urban road with commercial buildings on both sides.,What is the configuration of the road where the accident happened?,Road Configuration,Congested uphill straight road separated from the opposite lane by a spacious green belt.,Congested downhill straight road separated from the opposite lane by a narrow median.,What type of collision occurred?,Accident Type,A series of side collisions caused by a black car rushing from the left opposite lane,rear-end collision caused by a vehicle failing to maintain safe distance in heavy traffic,What was the primary cause of this collision?,Accident Cause,"The black car in the opposite lane failed to control its speed well, the vehicle drifted out of control, crossed the green belt and rushed into our lane.","The white car in the adjacent lane suddenly accelerated and swerved into our lane, causing the collision.",What action by one of the drivers could have most effectively prevented this accident?,Accident Prevention,The driver of the dark sedan should slow down when driving downhill or on slippery roads.,The driver of the white sedan should have maintained a greater following distance from the vehicle ahead.
000487,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and bright sunlight, providing excellent visibility.","Daytime with scattered clouds and moderate sunlight, resulting in slightly reduced visibility.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural highway surrounded by trees and vegetation.,suburban intersection with traffic signals and nearby residential buildings.,How is the intersection where the accident happened configured?,Road Configuration,"A Simple structure, narrow intersection with four ways, two lanes each way.","complex intersection with multiple lanes and a roundabout configuration, featuring traffic signals and dedicated turn lanes.",What specific type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego-car hit the side of the MPV.","rear-end collision, where the ego-car struck the vehicle ahead from behind.",What was the primary and most direct cause of this collision?,Accident Cause,"he white MPV failed to yield the right-of-way to the oncoming motorcycle, which had a green light.","The motorcycle failed to maintain a safe speed while approaching the intersection, leading to the collision.",Which of the following actions by the participants would have been the most effective measure to prevent this accident?,Accident Prevention,The white MPV remains stopped and waits for the motorcycle to pass before entering the intersection.,The motorcycle increases speed to cross the intersection before the MPV begins to turn.
000491,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Overcast daytime, general lighting conditions with wet road surfaces.","Partly cloudy daytime, moderate lighting conditions with dry road surfaces.",Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,A multi-lane urban expressway with vehicles traveling at high speed.,wide urban arterial road with moderate traffic and multiple intersections.,What is the configuration of the road shown in the video?,Road Configuration,"A one-way road with multiple lanes, separated from the opposite lane by the central median strip.","two-way road with multiple lanes, divided by a central barrier and featuring traffic moving in both directions.",What type of collision is recorded by the dashcam?,Accident Type,A sideswipe collision with a vehicle in the adjacent lane.,rear-end collision with a vehicle in the same lane.,What was the primary factor that led to the crash?,Accident Cause,The SUV that changed lanes made direct contact with the dashcam vehicle.,The SUV that changed lanes failed to yield and entered the dashcam vehicle's lane without sufficient clearance.,,,,
000499,"Based on the visual evidence, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and snowy/icy road conditions.,Daytime with clear skies and dry road conditions,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street with buildings, on-street parallel parking, and tram tracks on the road.","residential street with snow-covered sidewalks, parked cars along both sides, and no visible public transit infrastructure.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way, low-traffic street with at least one lane in each direction, featuring a row of cars parked on each side.","narrow, one-way street with parked cars on the left side and a snow-covered sidewalk on the right, featuring limited visibility due to overcast weather.",How can the type of this collision be best classified?,Accident Type,A side-impact collision resulting from self vehicle skiing on the icy road.,rear-end collision caused by a vehicle braking suddenly on the snowy road.,What was the primary and most direct cause of this accident?,Accident Cause,"The ego-vehicle slides sideways on the icy road, making it impossible to control the direction.","parked car suddenly opens its door, causing the ego-vehicle to swerve and lose control.",What critical action could have most likely prevented this collision?,Accident Prevention,The ego-vehicle should always keep a low speed in snowy days.,The ego-vehicle should have maintained a greater following distance from the car ahead.
000500,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with clear skies, but the road is covered in snow and ice.","Daytime with overcast skies and light snow falling, but the road is mostly clear of ice.",Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban area with multi-story buildings, traffic lights, and pedestrian crossings.","suburban area with low-rise buildings, open roads, and minimal traffic control signs.",What is the configuration of the road at the location of the collision?,Road Configuration,A signalized intersection on a multi-lane urban road.,multi-lane urban road with a roundabout and no traffic signals.,What type of collision occurs between the dark SUV and the white van?,Accident Type,"A side-impact (T-bone) collision, where the van's front struck the SUV's side.","rear-end collision, where the van's front struck the SUV's rear.",What was the primary human error that led to this accident?,Accident Cause,"The white rushed in, and failed to yield the right-of-way to oncoming traffic.","The black SUV made a sudden left turn without signaling, disrupting traffic flow.",Which action would have been the most effective way to prevent this collision?,Accident Prevention,"The white van slows down, waits for the oncoming traffic to clear the intersection before entering the intersection.",The black SUV turns left quickly into the intersection without checking for oncoming traffic.
000501,"Based on the visual evidence in the video, what were the environmental and road conditions when the accident occurred?",Weather & Light,Daytime with overcast skies and significant snow on the ground.,Daytime with clear skies and wet pavement from recent rain.,Which of the following best describes the setting of this incident?,Traffic Environment,An intersection in an urban area with commercial buildings.,residential street with apartment buildings and minimal traffic.,What is the condition of the intersection where the collision took place?,Road Configuration,"A signalized, multi-lane T-junction with parked cars narrows the road, where a secondary road joins a main road.","four-way intersection with traffic lights and pedestrian crossings, where two roads intersect at a right angle and vehicles are moving in multiple directions.",How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone collision, where the front of one car impacts the side of the car ahead.","sideswipe collision, where two vehicles moving in the same direction make lateral contact along their sides.",What was the primary critical error that led to this crash?,Accident Cause,The dark car failed to yield the right-of-way to the left-turning van at a yellow light.,"The van made an unsafe left turn without signaling, causing the dark car to collide with it.",What corrective action would have most likely prevented this accident?,Accident Prevention,The black car should observe the traffic conditions in the intersection before safely entering the intersection.,The red car should have yielded to the black car before proceeding through the intersection.
