video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
913,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,48,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,37,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,42,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,43,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,30,8,,"Based on the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with clear skies, but with significant sun glare affecting forward visibility.",,,,Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,An urban multi-lane arterial road approaching an intersection.,,,,What specific road marking was present at the point where the lane change occurred?,Road Configuration,"The green light of the intersection came on, and many vehicles in the same direction started to pass through the intersection.",,,,How can the collision involving the ego vehicle be best classified?,Accident Type,"A rear-end collision with the vehicle in front, which braked suddenly in response to a sudden-brake  vehicle in front.",,,,"What was the primary, root cause that initiated the chain of events leading to the collision?",Accident Cause,The black sedan making an illegal and abrupt lane change across a solid line in front of the silver SUV.,,,,,Accident Prevention,,,,
