video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2
000407,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,"Cloudy daytime with sufficient light, wet road surfaces, and accumulated snow on the roadsides.","Overcast daytime with reduced visibility, dry road surfaces, and no snow accumulation on the roadsides.","Sunny afternoon with bright lighting, partially icy road surfaces, and scattered snow patches along the curbs.",Which description best fits the traffic environment where the accident occurs?,Traffic Environment,Narrow urban intersection between residential buildings.,Wide urban road with multiple lanes and commercial buildings,Snow-covered residential street with low traffic volume,What was the road configuration and the initial positioning of the two vehicles involved just before they started moving?,Road Configuration,"A 4-way intersection controlled by traffic lights, with marked crosswalks and multiple lanes, including the one-way lane where the video car is located.","two-way intersection with stop signs and no marked crosswalks, where both vehicles were positioned in opposite lanes preparing to turn left.","roundabout with yield signs and a central island, where the video car was approaching from the right lane and the other vehicle was entering from the side road.",How can the collision be best classified?,Accident Type,"A side-impact (T-bone) collision, where the front of the straight-moving red SUV struck the side of the turning black SUV.","rear-end collision, where the red SUV struck the back of the black SUV while both vehicles were moving forward.","head-on collision, where the front of the red SUV collided with the front of the black SUV as they approached each other from opposite directions.",What was the primary cause of this accident?,Accident Cause,"The driver of the black SUV made a right turn prompt by the car lights, but the adjacent SUV ignored it and started moving.","The red SUV failed to yield when merging into the lane, causing a collision with the vehicle ahead.","The black SUV suddenly accelerated without signaling, leading to a rear-end collision with the car behind it.",Which action by one of the drivers would have most effectively prevented this collision?,Accident Prevention,"When waiting at an intersection, the red car should focus on controlling the vehicle and observe the surrounding traffic conditions.",The red car should have accelerated quickly to clear the intersection before the traffic light changed.,The driver of the gray SUV should have signaled earlier to indicate their intention to turn left.
000409,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and generally good visibility.,Daytime with clear skies and bright sunlight,Early morning with foggy conditions and reduced visibility,What specific traffic environment in this video?,Traffic Environment,"An urban expressway with street lights, wide green belts and residential buildings behind them","suburban arterial road with commercial buildings, pedestrian crossings, and sparse greenery","city street with multi-story residential buildings, traffic lights, and narrow sidewalks",What best describes the road configuration where the accident occurred?,Road Configuration,A multi-lane arterial road with uneven curves and moderate traffic flow.,two-lane residential street with sharp turns and low traffic volume.,divided highway with straight alignment and heavy traffic flow.,Which of the following best categorizes the type of accident that occurred?,Accident Type,A series of side collisions and rear-end collisions in the direction of the vehicle caused by the oncoming vehicle's loss of control and drift,chain of collisions initiated by a vehicle crossing into the opposite lane due to sudden braking and swerving,Multiple rear-end collisions caused by a vehicle stopping abruptly in traffic without warning,What was the primary cause of this accident?,Accident Cause,"The oncoming vehicle was driving too fast, causing it to lose control at the bend and drift into our lane.","The vehicle in front suddenly braked hard, causing the car behind to collide with it.","pedestrian stepped into the road unexpectedly, prompting the oncoming driver to swerve and lose control.",Which action would have most effectively prevented this collision?,Accident Prevention,The out-of-control car adjusts speed to be appropriate for the road conditions and ensures the vehicle remained fully within the marked travel lane.,The driver maintains a safe following distance and avoids sudden braking to prevent rear-end collisions.,"The vehicle on the left reduces speed gradually before turning, ensuring smooth lane changes without disrupting traffic flow."
000416,"Based on the video, what are the weather and lighting conditions during the incident?",Weather & Light,"It is a clear, sunny day with dry road surfaces and good visibility.","It is a cloudy day with light rain, resulting in wet road surfaces and reduced visibility.","There is heavy fog with low visibility, and the road appears damp from recent precipitation.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban main road with street signs and billboards, as well as municipal buildings","suburban road with residential houses and minimal signage, featuring light traffic and open sidewalks","busy intersection with multiple lanes, traffic lights, and commercial storefronts, including a visible pedestrian crossing",What is the road configuration at the scene of the accident?,Road Configuration,"A busy,straight, multi-lane, two-way main road divided by white solid lines,","narrow, curved, single-lane road with no center divider and light traffic","wide, straight, multi-lane road with dashed center lines and pedestrian crossings",What type of accident occurs in the video?,Accident Type,Continuous scraping between the vehicle and the vehicle in the left lane,The vehicle collides with a stationary object on the side of the road,rear-end collision occurs between two vehicles in the same lane,What is the primary action that led directly to this collision?,Accident Cause,The ego-vehicle driver was out of control and failed to brake in an excessive speed.,"The truck driver suddenly changed lanes without signaling, causing the ego-vehicle to swerve.","The pedestrian stepped into the crosswalk unexpectedly, prompting the ego-vehicle to accelerate.",What crucial safety principle should have been followed to prevent this accident?,Accident Prevention,The ego-car uses emergency braking while controlling the direction and slows down on urban roads.,The ego-car should have maintained a safe following distance to allow for sudden stops by surrounding vehicles.,The driver should have avoided lane changes in heavy traffic to prevent loss of vehicle control.
000425,"Based on the video, what were the prevailing weather and lighting conditions when the collision occurred?",Weather & Light,"It was a clear, sunny day with dry road surfaces.",It was a cloudy day with light rain and wet road surfaces.,The weather was sunny but there was heavy glare from the sun reflecting off the road.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,A multi-lane urban intersection surrounded by city buildings.,wide suburban road with low traffic and open fields on both sides.,two-lane rural intersection with minimal surrounding structures.,What is the configuration of the road layout where the collision occurs?,Road Configuration,"A multi-lane, four-way intersection controlled by traffic lights.","two-lane, T-shaped intersection with stop signs controlling traffic flow.",roundabout with multiple entry points and no traffic signals.,How would you classify the type of collision that occurred,Accident Type,"No contact accident, the motorcycle brakes caused the body to swing and overturn",sideswipe collision occurred when the motorcycle swerved to avoid a nearby vehicle,rear-end collision happened as the motorcycle hit the car from behind,What was the primary cause of this accident according to traffic laws and the sequence of events?,Accident Cause,"The motorcycle was at an excessive speed, overturned due to the vehicle's body swinging due to braking to avoid the SUV at the intersection","The SUV failed to yield the right of way at the intersection, causing the motorcycle to swerve and lose control","The motorcycle collided with the SUV due to a sudden lane change by the driver, resulting in a loss of balance",What critical action should have taken to prevent this collision?,Accident Prevention,The motor should slow down at inersection area. The SUV should go through intersection as fast as possible.,The motorcyclist should have yielded to the SUV entering the intersection.,The SUV should have stopped completely before proceeding through the intersection.
000426,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,Overcast daytime conditions with reduced visibility and a wet road surface.,"Bright sunlight with strong glare from the sun low on the horizon, creating shadows and potential visual distractions.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",pedestrian crossing without clear markings on a two-lane residential street with parked vehicles,multi-lane urban road with traffic signals and no visible vegetation or crosswalk signage,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.","The road has two lanes, with the striking car in the same direction lane and the camera car in the left lane.","The road is a single lane in each direction, with the camera car traveling in the right lane and the striking car approaching from the opposite side.",What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,pedestrian crossing the road outside a marked crosswalk and being struck by a vehicle.,vehicle colliding with a stroller while the pedestrian is pushing it across the street.,What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,The pedestrian unexpectedly stepped into the roadway without looking for oncoming traffic.,The black car was distracted by a passenger inside the vehicle while approaching the crosswalk.,How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.",The pedestrian could have waited for the oncoming car to pass before entering the crosswalk.,The driver of the black car could have slowed down earlier to allow more time to react to the pedestrians.
000427,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,Daylight with light cloud cover and moderate visibility.,Early morning with low sunlight and slightly reduced visibility.,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,The scene is a quiet residential street with low traffic volume.,The scene is a multi-lane highway with high-speed vehicle flow.,What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.","multi-lane intersection with traffic lights and pedestrian crossings, but without any trolleybus present.","busy urban intersection with vehicles and traffic signals, featuring a crosswalk but no visible trolleybus or pedestrian crossing signs.",How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.","rear-end collision, where the ego-vehicle struck the back of the SUV while following it closely.","head-on collision, where the front of the ego-vehicle collided with the front of the SUV traveling in the opposite direction.",What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,The red car failed to yield at the crosswalk and turned left abruptly.,"The bus stopped suddenly in the intersection, causing other vehicles to brake sharply.",What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,The dark SUV maintains a safe following distance behind the vehicle ahead to prevent rear-end collisions.,The dark SUV yields to pedestrians crossing at the marked crosswalk to avoid pedestrian-related accidents.
000428,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with overcast skies, and visibility was generally clear.","It was early morning with foggy conditions, and visibility was reduced.","It was nighttime with streetlights illuminated, and the sky was dark.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with residential buildings and commercial shops nearby.,suburban road with apartment buildings and a few small businesses along the side.,busy highway intersection with multiple lanes and commercial signage visible.,What specific road features were present at the location of the accident?,Road Configuration,A narrow intersection with marked crosswalk (zebra crossing) and a traffic signal pole.,wide intersection with a pedestrian crossing and a speed limit sign,narrow road with a roundabout and a traffic signal pole,How can this traffic accident be most accurately classified?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk.,collision between a vehicle and a pedestrian outside of a marked crosswalk.,rear-end collision between two vehicles at an intersection.,What was the most direct and primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to the pedestrian who was already on the crosswalk.,The pedestrian suddenly stepped into the crosswalk without looking for oncoming traffic.,The van was traveling at a speed that exceeded the posted limit for the intersection.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,"The van waits outside the intersection when the light is red, and the pedestrain keep an eye on the oncoming car even when the light is green when crossing.","The pedestrian should have waited for the walk signal to turn green before stepping into the crosswalk, and the van driver should have yielded to the pedestrian even if the light was green.","The van driver should have slowed down when approaching the intersection, and the pedestrian should have checked both directions before crossing regardless of the traffic light status."
000430,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Early morning with overcast skies and a dry road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A town or village road with roadside buildings, parked vehicles, and a side road junction","residential street with houses on both sides, no visible parked vehicles, and a clear intersection ahead","highway with multiple lanes, median barriers, and high-speed traffic approaching a roundabout",What is the configuration of the road at the accident location?,Road Configuration,"A two-lane, four-way road with a dashed centerline at a small intersection with a path.",two-lane road with a solid centerline at a T-intersection near a pedestrian crossing,"four-way intersection with a roundabout and no marked crosswalks, featuring a single lane in each direction",What type of collision is depicted in the video?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hit the side of the other.","rear-end collision, where one vehicle struck the back of another from behind.","head-on collision, where two vehicles approached each other and collided frontally.",What was the primary cause of this accident?,Accident Cause,The maroon wagon pulled out from a side road and failed to yield the right-of-way to oncoming traffic.,The red sedan failed to maintain a safe distance and collided with the vehicle in front of it.,"pedestrian suddenly stepped into the roadway, causing the driver to swerve and lose control.",How could the drivers have most effectively prevented this collision?,Accident Prevention,The maroon wagon stops completely and waits for the approaching red car to pass before entering the main road.,The red car could have slowed down earlier to allow the maroon wagon to enter the road safely.,The maroon wagon should have yielded to the red car while turning right from the side road.
000432,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.","Partly cloudy skies and moderate daylight, with a wet road surface from recent rain.","Overcast conditions and low visibility due to fog, with a damp pavement.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.",Urban highway with multiple commercial signs and traffic lights,Rural two-lane road with no visible signage or roadside structures,What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.","two-lane road with a center divider and moderate traffic flow, featuring vehicles moving in both directions.","narrow, uphill roadway with unclear lane markings and limited visibility due to surrounding structures.",What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,Side collision and head-on collision caused by a vehicle changing lanes abruptly,Rear-end collision followed by a T-bone crash due to sudden braking in heavy traffic,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.","The silver Honda swerved to the right to avoid a pedestrian crossing the road, causing it to lose control and trigger the chain reaction.","vehicle in the adjacent lane changed lanes without signaling, leading the silver Honda to brake abruptly and collide with the car behind.",Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,The driver of the silver car maintains a safe following distance behind the vehicle in front.,The driver of the white car signals before changing lanes to avoid sudden maneuvers.
000435,"Based on the visual information, what were the environmental conditions at the time of the collision?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Early morning with foggy conditions and reduced visibility.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,A suburban intersection with residential areas and vegetation nearby.,busy urban intersection with commercial buildings and heavy traffic.,rural road surrounded by open fields and sparse traffic signals.,What is the configuration of the intersection shown in the video?,Road Configuration,A multi-lane intersection controlled by traffic lights and featuring a painted crosswalk.,two-way intersection with stop signs and no marked crosswalks,roundabout with yield signs and a central island,What type of collision occurs between the blue Chevrolet and the dark gray Mercedes?,Accident Type,"A side-impact (T-bone) collision, along with a head-on crash, where the front of one car struck the side of the other,then the two acciden cars deviated from their original track and collided head-on with the video car.",rear-end collision occurred when the blue Chevrolet struck the back of the dark gray Mercedes as both vehicles were moving through the intersection.,"sideswipe collision happened between the blue Chevrolet and the dark gray Mercedes, where the two cars made contact along their side panels while traveling in the same direction.","What was the most likely primary cause of this accident?""",Accident Cause,The driver of the black car failed to yield the right-of-way to oncoming traffic while making a right turn. The blue car sped too fast and didn't declerate  in time.,The blue car ran a red light while attempting to make a left turn across the intersection.,The black car was distracted by a mobile device and failed to notice the approaching blue vehicle.,What action by the driver of the blue car would have most reliably prevented this collision?,Accident Prevention,The black car waits for a complete gap in oncoming traffic before starting the turn. The blue car perform a decelrate befor entering intersection.,The blue car should have yielded to the black car when entering the intersection.,The driver of the blue car could have avoided the collision by maintaining a safe following distance behind the vehicle ahead.
000440,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",Overcast skies with light rain and a wet road surface.,Bright daylight with a partially wet road due to recent rainfall.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.","multi-lane highway in an urban area, with high-rise buildings lining both sides of the road.","two-lane road in a rural setting, featuring open fields and minimal traffic infrastructure.",What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,multi-lane divided highway with traffic moving in both directions,narrow urban street with two lanes and frequent intersections,What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",rear-end collision occurs when the vehicle ahead suddenly brakes.,side-swipe collision happens as the car changes lanes too quickly.,What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,sudden lane change by the vehicle in the adjacent lane.,The driver of the pickup truck losing control due to excessive speed.,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,The driver of the sedan should have maintained a safer following distance behind the truck to allow more reaction time,The pickup truck driver could have signaled earlier when changing lanes to improve visibility for surrounding vehicles
000445,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Overcast skies with moderate cloud cover and reduced visibility.,Early morning with dim lighting and low sunlight exposure.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban multi-lane intersection with roadside trees and commercial buildings nearby.,suburban roundabout with minimal traffic and open green spaces surrounding it.,narrow urban street lined with parked cars and residential buildings on both sides.,What is a key feature of the road configuration at the site of the accident?,Road Configuration,A busy signalized intersection with fast-moving traffic in the horizontal lane ahead,multi-lane road with a roundabout and moderate traffic flow,narrow two-way street with limited visibility and no traffic signals,What type of collision occurred in the video?,Accident Type,A collision between an SUV which went through the intersection at high speed and a motorcycle crossing the road,collision between a motorcycle and a sedan that occurred while both vehicles were turning at the intersection,side-swipe collision between a motorcycle and an SUV as they traveled in the same direction on a multi-lane road,What was the primary cause of this accident?,Accident Cause,The motorcyclist ran a red light while the SUV had the right-of-way.,The SUV failed to yield when turning left at the intersection.,The motorcyclist lost control due to a sudden swerve while entering the crosswalk.,How could this collision have been most effectively prevented?,Accident Prevention,The motorcyclist should have obey the traffic rule and wait untill the light turn red.,The motorcyclist should have checked for oncoming traffic before entering the intersection.,The driver of the white car should have yielded to the motorcyclist when turning right.
000462,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,The incident occurred during early morning with light fog reducing visibility slightly.,The accident happened under overcast skies with moderate rain and diminished lighting conditions.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,The scene is a two-lane rural road with minimal traffic and no visible intersections.,The collision occurred at a roundabout in a commercial area with multiple entry points.,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,The ego-vehicle was approaching a stop sign-controlled intersection with no traffic signals.,The ego-vehicle was turning right at a signalized intersection on a green arrow.,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.","rear-end collision, where one vehicle struck the back of another while traveling in the same direction.","sideswipe collision, where two vehicles moving in the same direction made lateral contact along their sides.",What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.",The ego-vehicle failed to maintain a safe speed while approaching the intersection.,The white minivan was traveling in the wrong lane and crossed into the oncoming traffic path.,What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,The driver of the white minivan should have accelerated quickly to complete the turn before oncoming traffic arrived.,The driver of the white minivan should have signaled earlier to alert other drivers of their intention to turn.
000464,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,Overcast skies with wet pavement from recent rain.,Bright sunlight with shadows indicating early morning hours.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,suburban residential street with single-family homes and wide sidewalks.,busy highway intersection with multiple lanes and traffic signals.,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.","wide, two-way, single-lane paved road with a sharp turn.","narrow, one-way, single-lane paved road with a straight alignment.",What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,rear-end collision where the motorcycle hits the car from behind.,T-bone collision where the car strikes the motorcycle from the side.,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.","The car failed to yield at the intersection, causing a sudden maneuver.",The motorcycle was distracted by a pedestrian crossing nearby.,What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,The car should have yielded to the motorcycle when turning across its path.,The motorcycle rider should have maintained a greater distance from the vehicle ahead.
000465,"Based on the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with clear skies, but with significant sun glare affecting forward visibility.",Daytime with overcast skies and moderate glare from the sun low on the horizon.,Early morning with foggy conditions and reduced visibility due to moisture in the air.,Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,An urban multi-lane arterial road approaching an intersection.,suburban two-lane road with minimal traffic approaching a roundabout.,busy urban highway with multiple lanes and high-speed traffic flow.,What specific road marking was present at the point where the lane change occurred?,Road Configuration,"The green light of the intersection came on, and many vehicles in the same direction started to pass through the intersection.","solid white line was painted along the edge of the lane, indicating no lane changes were permitted.","The traffic light turned yellow, and vehicles began to slow down in preparation for stopping.",How can the collision involving the ego vehicle be best classified?,Accident Type,"A rear-end collision with the vehicle in front, which braked suddenly in response to a sudden-brake  vehicle in front.","side-swipe collision with a vehicle changing lanes from the right, which caused the ego vehicle to lose control.",frontal collision with a stationary vehicle at an intersection due to failure to yield the right of way.,"What was the primary, root cause that initiated the chain of events leading to the collision?",Accident Cause,The black sedan making an illegal and abrupt lane change across a solid line in front of the silver SUV.,The silver SUV failing to maintain a safe following distance behind the vehicle ahead.,The white van merging into the lane from the right without signaling properly.,,,,,
000474,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear weather with good visibility during dawn or dusk.,Overcast skies with reduced visibility during early morning hours.,Foggy conditions with limited visibility at night.,How would you best describe the traffic environment shown in the video?,Traffic Environment,A suburban highway.,multi-lane urban arterial road with commercial buildings nearby.,rural two-lane highway with minimal traffic and open surroundings.,What is the configuration of the road where the incident occurs?,Road Configuration,"Heavy but continuously flowing traffic on a multi-lane, straight urban highway with clear lane markings.","multi-lane highway with moderate traffic and visible lane markings, but featuring a sharp curve ahead.","straight urban road with light traffic and no clear lane markings, surrounded by commercial buildings.",What type of collision is about to occur in the video?,Accident Type,"Rollover caused by a side impact, the white car cut in, and struck the right behind side of the front black vehicle then rollover.","rear-end collision occurs when the white car hits the back of the black vehicle, causing it to lose control and roll over.","side-swipe collision happens as the white car moves into the adjacent lane and makes contact with the side of the black vehicle, leading to a spin but no rollover.",What is the primary and most direct action that leads to this collision?,Accident Cause,The white vehicle made an agressive and sudden lane change without proper observation.,The motorcycle rider failed to maintain a safe following distance behind the vehicle ahead.,The red car suddenly accelerated into the adjacent lane without signaling.,What single action would have been most effective in preventing this accident?,Accident Prevention,The white vehicle thoroughly checks mirrors and the vehicle's blind spot before changing lanes.,The motorcycle rider maintains a safe following distance and avoids sudden movements.,The white vehicle signals intent to change lanes well in advance of the maneuver.
000477,"Based on the video, what were the prevailing weather and light conditions when the collision occurred?",Weather & Light,"It was daytime with rainy weather, resulting in wet and reflective road surfaces.","It was daytime with overcast skies and dry road conditions, reducing visibility slightly.","It was early evening with light rain and dim lighting, causing moderate glare on the road surface.",Which of the following best describes the traffic environment at the moment of the incident?,Traffic Environment,It's a rural highway with green belt on the roadside.,It's a busy urban highway with multiple lanes and roadside buildings.,It's a two-lane rural road with trees and grass on both sides.,What is the configuration of the road where the accident happened?,Road Configuration,Congested uphill straight road separated from the opposite lane by a spacious green belt.,Congested downhill straight road with a narrow median dividing the opposing lanes.,Multi-lane highway with heavy traffic and no visible separation between opposite directions.,What type of collision occurred?,Accident Type,A series of side collisions caused by a black car rushing from the left opposite lane,rear-end collision triggered by sudden braking in heavy traffic,T-bone collision caused by a vehicle turning left across lanes,What was the primary cause of this collision?,Accident Cause,"The black car in the opposite lane failed to control its speed well, the vehicle drifted out of control, crossed the green belt and rushed into our lane.","The white car in the adjacent lane suddenly accelerated and changed lanes without signaling, causing a near collision.","The vehicle ahead braked abruptly due to traffic congestion, leading to a rear-end collision with the car behind it.",What action by one of the drivers could have most effectively prevented this accident?,Accident Prevention,The driver of the dark sedan should slow down when driving downhill or on slippery roads.,The driver of the white sedan should have maintained a greater following distance in heavy traffic.,The driver of the dark sedan should have signaled before changing lanes to avoid confusion.
000487,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and bright sunlight, providing excellent visibility.","Daytime with partly cloudy skies and moderate sunlight, resulting in slightly reduced visibility.","Early morning with low light and foggy conditions, creating limited visibility on the road.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural highway surrounded by trees and vegetation.,suburban intersection with stop signs and residential homes nearby.,An urban road with multiple lanes and heavy traffic signage.,How is the intersection where the accident happened configured?,Road Configuration,"A Simple structure, narrow intersection with four ways, two lanes each way.","four-way intersection with a roundabout and traffic signals, featuring three lanes per direction.",two-way intersection with a single lane in each direction and no traffic control devices.,What specific type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego-car hit the side of the MPV.","rear-end collision, where the ego-car struck the back of the MPV as it was stopped at an intersection.","head-on collision, where the front of the ego-car collided with the front of the MPV while traveling in opposite directions.",What was the primary and most direct cause of this collision?,Accident Cause,"he white MPV failed to yield the right-of-way to the oncoming motorcycle, which had a green light.","The motorcycle failed to maintain a safe speed while approaching the intersection, leading to the collision.","The white MPV was turning left without signaling, causing the motorcycle to lose control.",Which of the following actions by the participants would have been the most effective measure to prevent this accident?,Accident Prevention,The white MPV remains stopped and waits for the motorcycle to pass before entering the intersection.,The motorcycle rider slows down and checks for oncoming traffic before proceeding through the intersection.,The white MPV turns left quickly to avoid blocking the road while the motorcycle approaches from the side.
000491,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Overcast daytime, general lighting conditions with wet road surfaces.",Partly cloudy daytime with dry pavement and moderate visibility,Snowy conditions during early morning with reduced lighting and icy road surfaces,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,A multi-lane urban expressway with vehicles traveling at high speed.,busy urban intersection with multiple traffic signals and moderate vehicle speeds.,two-lane residential road with low-speed traffic and parked cars along the sides.,What is the configuration of the road shown in the video?,Road Configuration,"A one-way road with multiple lanes, separated from the opposite lane by the central median strip.","two-way road with lanes separated by a solid center line, allowing traffic to pass in both directions.","multi-lane highway without a central median, where vehicles travel in both directions on the same roadway.",What type of collision is recorded by the dashcam?,Accident Type,A sideswipe collision with a vehicle in the adjacent lane.,rear-end collision with a vehicle ahead in the same lane.,T-bone collision at an intersection with a crossing vehicle.,What was the primary factor that led to the crash?,Accident Cause,The SUV that changed lanes made direct contact with the dashcam vehicle.,The SUV lost control due to slippery road conditions and collided with the dashcam vehicle.,"Another vehicle rear-ended the SUV, causing it to veer into the dashcam vehicle's lane.",,,,,
